N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,LG유플러스,"13,700",0,0.00%,"5,000","59,816","436,611",37.70,"1,132,802",8.39,9.47,
60,강원랜드,"27,900","1,550",+5.88%,500,"59,689","213,940",18.94,"2,342,542",-569.39,-0.33,
61,한화솔루션,"30,700",650,+2.16%,"5,000","58,722","191,278",18.27,"639,908",9.29,8.79,
62,맥쿼리인프라,"13,900",50,+0.36%,0,"56,274","404,846",14.90,"621,629",N/A,N/A,
63,SKC,"143,500","3,500",+2.50%,"5,000","54,341","37,868",14.84,"125,020",24.61,11.60,
64,현대제철,"40,500",550,+1.38%,"5,000","54,046","133,446",20.50,"388,980",3.70,8.54,
65,코웨이,"70,400",200,+0.28%,500,"51,955","73,800",61.27,"138,390",11.16,27.41,
66,삼성엔지니어링,"26,250","1,050",+4.17%,"5,000","51,450","196,000",41.11,"1,012,596",13.82,20.67,
67,삼성중공업,"5,660",110,+1.98%,"1,000","49,808","880,000",14.59,"2,969,442",-2.76,-36.89,
68,에스디바이오센서,"47,500",0,0.00%,500,"49,054","103,271",13.05,"300,655",4.37,72.47,
69,F&F,"126,000","3,000",+2.44%,100,"48,267","38,307",13.62,"141,117",13.86,N/A,
70,미래에셋증권,"7,760",90,+1.17%,"5,000","47,749","615,316",13.92,"850,473",5.33,11.66,
71,현대건설,"42,450","1,550",+3.79%,"5,000","47,271","111,356",23.48,"390,515",11.63,5.89,
72,KODEX 200,"34,605",800,+2.37%,0,"47,236","136,500",2.38,"3,614,126",N/A,N/A,
73,HD현대,"59,000","1,300",+2.25%,"1,000","46,606","78,993",15.97,"192,699",-35.22,-1.99,
74,한국항공우주,"47,300",850,+1.83%,"5,000","46,106","97,475",19.01,"802,031",72.10,5.19,
75,DB손해보험,"64,500","1,200",+1.90%,500,"45,666","70,800",43.69,"163,855",5.25,13.38,
76,금호석유,"148,000","2,500",+1.72%,"5,000","44,838","30,296",19.48,"67,571",2.52,47.76,
77,한국타이어앤테크놀로지,"35,750",0,0.00%,500,"44,285","123,875",37.92,"671,119",7.41,7.69,
78,메리츠화재,"36,700",350,-0.94%,500,"44,269","120,625",11.87,"545,472",6.71,26.12,
79,GS,"47,450",600,+1.28%,"5,000","44,088","92,915",19.76,"245,679",3.10,15.55,
80,유한양행,"58,200","1,000",+1.75%,"1,000","42,621","73,231",17.81,"142,593",42.20,5.45,
81,팬오션,"7,860",170,+2.21%,"1,000","42,017","534,570",14.24,"12,438,063",7.65,17.16,
82,두산밥캣,"40,750","1,150",+2.90%,500,"40,852","100,249",24.91,"115,570",10.59,9.19,
83,한국가스공사,"44,200",50,-0.11%,"5,000","40,802","92,313",10.51,"302,053",4.29,11.63,
84,메리츠금융지주,"30,350",200,+0.66%,500,"39,774","131,051",6.95,"257,248",5.15,22.33,
85,쌍용C&E,"7,690",110,+1.45%,100,"38,747","503,860",3.28,"474,657",20.84,11.12,
86,삼성카드,"33,250",450,+1.37%,"5,000","38,523","115,859",7.33,"77,898",6.99,7.53,
87,메리츠증권,"5,810",10,+0.17%,"1,000","38,334","659,791",12.43,"2,003,117",5.49,15.77,
88,한국금융지주,"68,400","1,900",+2.86%,"5,000","38,117","55,726",33.49,"162,781",2.39,27.12,
89,한진칼,"55,800","1,100",+2.01%,"2,500","37,253","66,761",14.35,"43,833",217.12,1.11,
90,일진머티리얼즈,"80,200","3,200",+4.16%,500,"36,981","46,111",11.35,"316,857",58.93,7.85,
91,아모레G,"44,600",550,+1.25%,500,"36,776","82,458",15.19,"114,769",23.79,5.49,
92,롯데지주,"34,900","2,000",+6.08%,200,"36,613","104,909",7.63,"422,709",11.98,4.61,
93,오리온,"92,500","2,100",+2.32%,500,"36,571","39,536",35.51,"106,720",14.19,12.75,
94,한미약품,"296,000","5,000",+1.72%,"2,500","36,461","12,318",13.13,"16,237",54.40,8.75,
95,현대오토에버,"131,000","3,500",+2.75%,500,"35,925","27,424",1.96,"64,885",48.48,7.26,
96,이마트,"122,000",500,-0.41%,"5,000","34,008","27,876",28.77,"256,075",2.17,16.25,
97,삼성증권,"38,050","1,050",+2.84%,"5,000","33,979","89,300",28.94,"350,076",3.52,16.94,
98,GS건설,"39,700","1,050",+2.72%,"5,000","33,976","85,581",27.74,"363,506",8.28,9.32,
99,BGF리테일,"196,500","1,500",+0.77%,"1,000","33,963","17,284",31.17,"33,654",23.00,19.61,
100,NH투자증권,"10,200",200,+2.00%,"5,000","33,830","331,666",14.81,"584,630",3.33,14.77,
101,현대차2우B,"92,600","1,600",+1.76%,"5,000","33,786","36,485",61.03,"76,997",5.19,N/A,
102,현대미포조선,"83,000","1,900",+2.34%,"5,000","33,152","39,942",11.76,"280,142",-20.76,-7.11,
103,TIGER 차이나전기차SOLACTIVE,"12,865",125,+0.98%,0,"32,790","254,880",0.90,"5,168,732",N/A,N/A,
104,DB하이텍,"69,400","1,100",+1.61%,"5,000","30,813","44,399",22.22,"595,269",9.75,33.35,
105,한미사이언스,"44,500",300,+0.68%,500,"30,538","68,624",1.69,"56,666",71.09,6.37,
106,KCC,"340,000","4,000",+1.19%,"5,000","30,214","8,886",9.58,"27,483",-65.99,-0.92,
